LM landing data good.|1969-07-20T20:16:21|2019-07-20T20:16:21
LM fuel low-level quantity light.|1969-07-20T20:16:28|2019-07-20T20:16:28
LM landing radar data not good.|1969-07-20T20:16:59|2019-07-20T20:16:59
LM landing radar data good.|1969-07-20T20:17:03|2019-07-20T20:17:03
1st evidence of surface dust disturbed by descent engine.|1969-07-20T20:16:35|2019-07-20T20:16:35
LM lunar landing.|1969-07-20T20:17:39|2019-07-20T20:17:39
LM powered descent engine cutoff.|1969-07-20T20:17:41|2019-07-20T20:17:41
Decision made to proceed with EVA prior to first rest period.|1969-07-20T22:12:00|2019-07-20T22:12:00
Preparation for EVA started.|1969-07-20T23:43:00|2019-07-20T23:43:00
EVA started (hatch open).|1969-07-21T02:39:33|2019-07-21T02:39:33
CDR completely outside LM on porch.|1969-07-21T02:51:16|2019-07-21T02:51:16
Modular equipment stowage assembly deployed (CDR).|1969-07-21T02:53:18|2019-07-21T02:53:18
First clear TV picture received.|1969-07-21T02:54:00|2019-07-21T02:54:00
CDR at foot of ladder (starts to report, then pauses to listen).|1969-07-21T02:55:28|2019-07-21T02:55:28
CDR at foot of ladder and described surface as almost like a powder.|1969-07-21T02:55:38|2019-07-21T02:55:38
1st step taken lunar surface (CDR). Thats one small step for a manone giant leap for mankind.|1969-07-21T02:56:15|2019-07-21T02:56:15
CDR started surface examination and description, assessed mobility and described effects of LM descent engine.|1969-07-21T02:56:48|2019-07-21T02:56:48
CDR ended surface examination. LMP started to send down camera.|1969-07-21T02:58:54|2019-07-21T02:58:54
Camera installed on RCU bracket, LEC stored on secondary strut of LM landing gear.|1969-07-21T03:02:23|2019-07-21T03:02:23
Surface photography (CDR).|1969-07-21T03:02:53|2019-07-21T03:02:53
Contingency sample collection started (CDR).|1969-07-21T03:05:58|2019-07-21T03:05:58
Contingency sample collection ended (CDR).|1969-07-21T03:09:08|2019-07-21T03:09:08
LMP started egress from LM.|1969-07-21T03:11:57|2019-07-21T03:11:57
LMP at top of ladder. Descent photographed by CDR.|1969-07-21T03:13:56|2019-07-21T03:13:56
LMP on lunar surface.|1969-07-21T03:15:16|2019-07-21T03:15:16
Surface examination and examination of landing effects on surface and on LM started (CDR, LMP).|1969-07-21T03:15:47|2019-07-21T03:15:47
Insulation removed from modular equipment stowage assembly (CDR).|1969-07-21T03:21:06|2019-07-21T03:21:06
TV camera focal distance adjusted (CDR).|1969-07-21T03:23:35|2019-07-21T03:23:35
Plaque unveiled (CDR).|1969-07-21T03:24:19|2019-07-21T03:24:19
Plaque read (CDR).|1969-07-21T03:24:40|2019-07-21T03:24:40
TV camera redeployed. Panoramic TV view started (CDR).|1969-07-21T03:31:28|2019-07-21T03:31:28
TV camera placed in final deployment position (CDR).|1969-07-21T03:34:53|2019-07-21T03:34:53
Solar wind composition experiment deployed (LMP).|1969-07-21T03:35:20|2019-07-21T03:35:20
United States flag deployed (CDR, LMP).|1969-07-21T03:41:43|2019-07-21T03:41:43
Evaluation of surface mobility started (LMP).|1969-07-21T03:45:15|2019-07-21T03:45:15
Evaluation of surface mobility end (LMP).|1969-07-21T03:48:02|2019-07-21T03:48:02
Presidential message from White House and response from CDR.|1969-07-21T03:48:30|2019-07-21T03:48:30
Presidential message and CDR response ended.|1969-07-21T03:50:21|2019-07-21T03:50:21
Evaluation of trajectory of lunar soil when kicked (LMP) and bulk sample collection started (CDR).|1969-07-21T03:52:06|2019-07-21T03:52:06
Evaluation of visibility in lunar sunlight (LMP).|1969-07-21T03:42:24|2019-07-21T03:42:24
Evaluation of thermal effects of sun and shadow inside the suit (LMP).|1969-07-21T03:57:09|2019-07-21T03:57:09
Evaluation of surface shadows and colors (LMP).|1969-07-21T04:00:22|2019-07-21T04:00:22
LM landing gear inspection and photography (LMP).|1969-07-21T04:06:13|2019-07-21T04:06:13
Bulk sample completed (CDR).|1969-07-21T04:07:36|2019-07-21T04:07:36
LM landing gear inspection and photography (CDR, LMP).|1969-07-21T04:18:36|2019-07-21T04:18:36
Scientific equipment bay doors opened.|1969-07-21T04:25:38|2019-07-21T04:25:38
Passive seismometer deployed.|1969-07-21T04:27:42|2019-07-21T04:27:42
Lunar ranging retroreflector deployed (CDR).|1969-07-21T04:35:57|2019-07-21T04:35:57
1st passive seismic experiment data received on Earth.|1969-07-21T04:40:39|2019-07-21T04:40:39
Collection of documented samples started (CDR/LMP).|1969-07-21T04:43:00|2019-07-21T04:43:00
Solar wind composition experiment retrieved (LMP) .|1969-07-21T04:52:00|2019-07-21T04:52:00
LMP inside LM.|1969-07-21T05:01:39|2019-07-21T05:01:39
Transfer of sample containers reported complete.|1969-07-21T05:07:51|2019-07-21T05:07:51
CDR inside LM, assisted and monitored by LMP.|1969-07-21T05:09:32|2019-07-21T05:09:32
EVA ended (hatch closed).|1969-07-21T05:11:13|2019-07-21T05:11:13
LM equipment jettisoned.|1969-07-21T07:37:00|2019-07-21T07:37:00
LM lunar liftoff ignition (LM APS).|1969-07-21T17:54:00|2019-07-21T17:54:00
LM orbit insertion cutoff.|1969-07-21T18:01:15|2019-07-21T18:01:15
Coelliptic sequence initiation ignition.|1969-07-21T18:51:35|2019-07-21T18:51:35
Coelliptic sequence initiation cutoff.|1969-07-21T18:52:22|2019-07-21T18:52:22
Constant differential height maneuver ignition.|1969-07-21T19:49:49|2019-07-21T19:49:49
Constant differential height maneuver cutoff.|1969-07-21T19:50:29|2019-07-21T19:50:29
Terminal phase initiation ignition.|1969-07-21T20:35:51|2019-07-21T20:35:51
Terminal phase initiation cutoff.|1969-07-21T20:36:14|2019-07-21T20:36:14
LM 1st midcourse correction.|1969-07-21T20:50:30|2019-07-21T20:50:30
LM 2nd midcourse correction.|1969-07-21T21:05:30|2019-07-21T21:05:30
Braking started.|1969-07-21T21:08:57|2019-07-21T21:08:57
Terminal phase finalize ignition.|1969-07-21T21:18:09|2019-07-21T21:18:09
Terminal phase finalize cutoff.|1969-07-21T21:18:38|2019-07-21T21:18:38
Stationkeeping started.|1969-07-21T21:24:05|2019-07-21T21:24:05
CSM/LM docked.|1969-07-21T21:35:00|2019-07-21T21:35:00
CDR entered CM.|1969-07-21T22:52:00|2019-07-21T22:52:00
LMP entered CM.|1969-07-21T23:17:00|2019-07-21T23:17:00
LM ascent stage jettisoned.|1969-07-21T23:41:31|2019-07-21T23:41:31
CSM/LM final separation ignition.|1969-07-22T00:02:01|2019-07-22T00:02:01
CSM/LM final separation cutoff.|1969-07-22T00:02:08|2019-07-22T00:02:08
Transearth injection ignition (SPS).|1969-07-22T04:55:42|2019-07-22T04:55:42
Transearth injection cutoff.|1969-07-22T04:58:13|2019-07-22T04:58:13
Midcourse correction ignition.|1969-07-22T20:01:57|2019-07-22T20:01:57
Midcourse correction cutoff.|1969-07-22T20:02:07|2019-07-22T20:02:07
TV transmission started.|1969-07-23T01:08:00|2019-07-23T01:08:00
TV transmission ended.|1969-07-23T01:26:00|2019-07-23T01:26:00
TV transmission started.|1969-07-23T22:42:00|2019-07-23T22:42:00
TV transmission ended.|1969-07-23T22:45:00|2019-07-23T22:45:00
TV transmission started.|1969-07-23T23:04:00|2019-07-23T23:04:00
TV transmission ended.|1969-07-23T23:16:00|2019-07-23T23:16:00
CM/SM separation.|1969-07-24T16:21:12|2019-07-24T16:21:12
Entry.|1969-07-24T16:35:05|2019-07-24T16:35:05
Drogue parachute deployed|1969-07-24T16:44:06|2019-07-24T16:44:06
Visual contact with CM established by aircraft.|1969-07-24T16:39:00|2019-07-24T16:39:00
Radar contact with CM established by recovery ship.|1969-07-24T16:40:00|2019-07-24T16:40:00
VHF voice contact and recovery beacon contact established.|1969-07-24T16:46:00|2019-07-24T16:46:00
Splashdown (went to apex-down).|1969-07-24T16:50:35|2019-07-24T16:50:35
CM returned to apex-up position.|1969-07-24T16:58:15|2019-07-24T16:58:15
Flotation collar inflated.|1969-07-24T17:04:00|2019-07-24T17:04:00
Hatch opened for crew egress.|1969-07-24T17:21:00|2019-07-24T17:21:00
Crew egress.|1969-07-24T17:29:00|2019-07-24T17:29:00
Crew aboard recovery ship.|1969-07-24T17:53:00|2019-07-24T17:53:00
Crew entered mobile quarantine facility.|1969-07-24T17:58:00|2019-07-24T17:58:00
CM lifted from water.|1969-07-24T19:50:00|2019-07-24T19:50:00
CM secured to quarantine facility.|1969-07-24T19:58:00|2019-07-24T19:58:00
CM hatch reopened.|1969-07-24T20:05:00|2019-07-24T20:05:00
Sample return containers 1 and 2 removed from CM.|1969-07-24T22:00:00|2019-07-24T22:00:00
Container 1 removed from mobile quarantine facility.|1969-07-24T23:32:00|2019-07-24T23:32:00
